kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Pakenjeng,2023,0.0,0,187.53069568829645,86.07250049746165,22.353970209552003,353,70100,-0.4627582636900505,-0.5667662594498983,0.5983514764072247,0.5593529819018781,-0.8566631270256231,1,Sedang
Pameungpeuk,2023,2.2522522522522523,1,149.8208085634018,84.29522225291517,24.713173141636588,1006,44400,-0.418482787794289,-2.7772710076028475,-0.9173916089821804,2.1803509148560773,-0.3082435541443939,1,Sedang
Pamulihan,2023,0.0,0,212.17456639469768,85.86696435270038,20.17857643266704,145,19200,-0.4627582636900505,0.8778255270209955,0.4230609774797561,-0.9353504909257504,-1.0313511379893223,0,Rendah
Pangatikan,2023,4.566210045662101,2,212.28729966116484,86.55659903997629,21.20600666110684,2220,43800,-0.3729942851616574,0.8844338051093151,1.0112125580725222,-0.2294077108852135,0.7113297406148895,0,Rendah
Pasirwangi,2023,0.0,0,202.4607571508759,83.55289652776139,18.6748391878188,1430,66800,-0.4627582636900505,0.3084146087383799,-1.5504804843234925,-1.968561721911896,0.0478512374354546,2,Tinggi
Peundeuy,2023,126.53061224489797,31,194.54985017811043,85.98762538519553,23.37322307314938,432,24500,2.024619900511014,-0.1553125132118218,0.5259661507364845,1.259677130613032,-0.7903152767076795,1,Sedang
Samarang,2023,44.887780548628434,36,181.4930659264893,83.98695485339363,19.59425015545781,1343,80200,0.4196596997985422,-0.920684297227678,-1.1802959576453689,-1.336838499712704,-0.0252153825349388,2,Tinggi
Selaawi,2023,70.77625570776256,31,209.99909556223145,81.97301326105364,22.760049495056546,1285,43800,0.9285834035000428,0.7503022441029671,-2.8978762253014465,0.8383682685761579,-0.0739264625152011,2,Tinggi
Singajaya,2023,0.0,0,205.14462386666435,87.09060490609431,21.953945046633127,717,48600,-0.4627582636900505,0.4657393999532405,1.4666368573399209,0.284497456163698,-0.5509591078391493,0,Rendah
Sucinaraja,2023,0.0,0,223.42610096114785,86.47798695902956,21.2302842434182,902,30500,-0.4627582636900505,1.5373759123289876,0.944168628125876,-0.2127266911184796,-0.3955875596262436,0,Rendah
Sukaresmi,2023,2.4213075060532687,1,197.7941581249487,83.64051281636524,18.892165102018865,1174,41300,-0.4151594469885539,0.034864617183828,-1.475757359778262,-1.8192380444508784,-0.1671493914429445,2,Tinggi
Sukawening,2023,18.739352640545142,11,207.02100406443745,86.44566249375782,21.233594257864244,1512,58700,-0.0943742359644986,0.5757303771943107,0.9166008655232027,-0.2104523947863943,0.1167186263730668,0,Rendah
Talegong,2023,0.0,0,220.64856717394863,86.16321477148932,19.662012232469905,269,29300,-0.4627582636900505,1.374560478688883,0.6757167027163192,-1.29027947535941,-0.9272102083763476,0,Rendah
Tarogong Kaler,2023,69.37561942517344,70,175.4998166702511,84.86194866175143,20.5551500840626,1995,100900,0.9010492594420272,-1.2720008072427067,-0.4340617543930188,-0.6766083953579698,0.522364344139734,2,Tinggi
Tarogong Kidul,2023,12.626262626262626,15,171.79297395352543,85.41443462973552,21.12718317317444,6102,118800,-0.2145472624562362,-1.4892911268567617,0.037123209647465,-0.2835669819122978,3.97161271446624,2,Tinggi
Wanaraja,2023,3.9761431411530817,2,213.83954518620249,86.51515132422071,21.21880686075497,1427,50300,-0.3845940040569766,0.9754244275959496,0.9758640757769218,-0.2206127501428219,0.0453316988157858,0,Rendah
Balubur Limbangan,2024,414.8148148148149,336,242.5177518183923,85.42454489164182,22.63971809983156,1101,81000,2.8554263389416645,-0.3145185707595186,-2.014905951439637,0.4675694008348451,-0.2404629393437565,2,Tinggi
Banjarwangi,2024,8.389261744966442,5,273.69527711192364,88.3861542341648,21.39711589535251,481,59600,-0.9252686922832531,1.4749664756940768,1.3619791139157464,-0.3493256452312969,-0.7552323359658724,0,Rendah
